# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
7.6535e+02	1.3117e+02	3.1307e+00
7.9139e+02	1.3083e+02	3.4400e+00
1.3595e+03	1.3256e+02	4.7610e+00
4.6161e+02	1.3158e+02	3.3851e+00
9.8730e+02	1.3179e+02	3.1429e+00
1.2309e+03	1.3197e+02	3.1147e+00
1.2884e+03	1.3402e+02	3.5050e+00
1.6271e+01	1.3748e+02	6.1338e+00
2.0381e+02	1.3392e+02	3.0998e+00
2.3170e+02	1.3384e+02	3.2054e+00
4.3458e+02	1.3420e+02	3.2482e+00
7.3987e+02	1.3341e+02	3.1269e+00
9.6097e+02	1.3355e+02	3.1431e+00
1.1095e+03	1.3325e+02	3.1229e+00
4.0779e+02	1.3533e+02	3.2518e+00
9.3507e+02	1.3492e+02	3.0720e+00
6.6104e+02	1.3555e+02	3.0740e+00
7.1348e+02	1.3562e+02	3.0099e+00
1.0828e+03	1.3589e+02	3.2990e+00
1.3275e+03	1.3503e+02	3.3284e+00
1.7703e+02	1.3645e+02	3.2002e+00
6.8585e+02	1.3597e+02	3.3014e+00
9.0883e+02	1.3637e+02	3.5076e+00
1.2038e+03	1.3611e+02	3.0050e+00
3.8055e+02	1.3734e+02	3.3168e+00
6.3575e+02	1.3851e+02	3.1882e+00
8.8251e+02	1.3861e+02	3.2964e+00
1.0551e+03	1.3910e+02	3.2171e+00
1.3038e+03	1.3813e+02	2.7490e+00
1.1790e+03	1.3949e+02	3.0903e+00
9.4498e+01	1.4101e+02	3.2374e+00
1.2313e+02	1.3972e+02	3.2933e+00
3.5354e+02	1.3986e+02	3.0752e+00
5.5569e+02	1.4029e+02	3.3313e+00
5.8202e+02	1.4049e+02	3.3563e+00
6.0959e+02	1.4011e+02	3.3234e+00
8.5580e+02	1.4113e+02	3.2319e+00
2.9913e+02	1.4156e+02	3.2963e+00
1.4985e+02	1.3924e+02	3.4276e+00
5.2906e+02	1.4212e+02	3.1216e+00
8.3082e+02	1.4247e+02	3.3240e+00
6.7623e+01	1.4343e+02	3.3206e+00
5.0256e+02	1.4316e+02	3.4535e+00
1.0013e+03	1.4333e+02	3.2060e+00
1.0282e+03	1.4283e+02	3.0636e+00
1.2727e+03	1.4385e+02	3.4630e+00
